1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
007256	general conditions - design/build (multiple-prime contract)	007256	general conditions - design/build (multiple-prime contract)	Procurement	00 00 00
007273	general conditions - performance contract	007273	general conditions - performance contract	Procurement	00 00 00
007295	general conditions - integrated project delivery	007295	general conditions - integrated project delivery	Procurement	00 00 00
007300	supplementary conditions	007300	supplementary conditions	Procurement	00 00 00
007316	insurance requirements	007316	insurance requirements	Procurement	00 00 00
007319	health and safety requirements	007319	health and safety requirements	Procurement	00 00 00
007323	purchase contracts	007323	purchase contracts	Procurement	00 00 00
007326	assigned contracts	007326	assigned contracts	Procurement	00 00 00
007333	non-segregated facilities requirements	007333	non-segregated facilities requirements	Procurement	00 00 00
007336	equal employment opportunity requirements	007336	equal employment opportunity requirements	Procurement	00 00 00
007339	minority business enterprise requirements	007339	minority business enterprise requirements	Procurement	00 00 00
007343	wage rate requirements	007343	wage rate requirements	Procurement	00 00 00
007346	wage determination schedule	007346	wage determination schedule	Procurement	00 00 00
007349	labor stabilization agreement	007349	labor stabilization agreement	Procurement	00 00 00
007353	anti-pollution measures	007353	anti-pollution measures	Procurement	00 00 00
007363	security requirements	007363	security requirements	Procurement	00 00 00
007373	statutory requirements	007373	statutory requirements	Procurement	00 00 00
007383	dispute resolution	007383	dispute resolution	Procurement	00 00 00
009000	revisions, clarifications, and modifications	009000	revisions, clarifications, and modifications	Procurement	00 00 00
009100	precontract revisions	009100	precontract revisions	Procurement	00 00 00
009113	addenda	009113	addenda	Procurement	00 00 00
009116	bid revisions	009116	bid revisions	Procurement	00 00 00
009119	proposal revisions	009119	proposal revisions	Procurement	00 00 00
009300	record clarifications and proposals	009300	record clarifications and proposals	Procurement	00 00 00
009313	record requests for interpretation	009313	record requests for interpretation	Procurement	00 00 00
009319	record clarification notices	009319	record clarification notices	Procurement	00 00 00
009343	api	009343	api	Procurement	00 00 00
009353	record proposal requests	009353	record proposal requests	Procurement	00 00 00
009354	record proposal worksheet summaries	009354	record proposal worksheet summaries	Procurement	00 00 00
009357	record change order requests	009357	record change order requests	Procurement	00 00 00
009400	record modifications	009400	record modifications	Procurement	00 00 00
009433	record minor changes in the work	009433	record minor changes in the work	Procurement	00 00 00
009436	record supplemental instructions	009436	record supplemental instructions	Procurement	00 00 00
009439	record field orders	009439	record field orders	Procurement	00 00 00
009443	record amendments	009443	record amendments	Procurement	00 00 00
009446	record construction change directives	009446	record construction change directives	Procurement	00 00 00
009449	record work change directives	009449	record work change directives	Procurement	00 00 00
009463	record change orders	009463	record change orders	Procurement	00 00 00
010000	general requirements	010000	general requirements	General Requirements	01 00 00
011000	summary	011000	summary	General Requirements	01 00 00
011100	summary of work	011100	summary of work	General Requirements	01 00 00
011113	work covered by contract documents	011113	work covered by contract documents	General Requirements	01 00 00
011116	work by owner	011116	work by owner	General Requirements	01 00 00
011119	purchase contracts	011119	purchase contracts	General Requirements	01 00 00
011200	multiple contract summary	011200	multiple contract summary	General Requirements	01 00 00
011213	summary of contracts	011213	summary of contracts	General Requirements	01 00 00
011216	work sequence	011216	work sequence	General Requirements	01 00 00
011219	contract interface	011219	contract interface	General Requirements	01 00 00
011400	work restrictions	011400	work restrictions	General Requirements	01 00 00
011413	access to site	011413	access to site	General Requirements	01 00 00
011416	coordination with occupants	011416	coordination with occupants	General Requirements	01 00 00
011419	use of site	011419	use of site	General Requirements	01 00 00
011433	work in rights-of-way	011433	work in rights-of-way	General Requirements	01 00 00
011800	project utility sources	011800	project utility sources	General Requirements	01 00 00
011813	utility service connections	011813	utility service connections	General Requirements	01 00 00
012000	price and payment procedures	012000	price and payment procedures	General Requirements	01 00 00
012100	allowances	012100	allowances	General Requirements	01 00 00
012113	cash allowances	012113	cash allowances	General Requirements	01 00 00
012116	contingency allowances	012116	contingency allowances	General Requirements	01 00 00
012119	testing and inspecting allowances	012119	testing and inspecting allowances	General Requirements	01 00 00
012123	installation allowances	012123	installation allowances	General Requirements	01 00 00
012126	product allowances	012126	product allowances	General Requirements	01 00 00
012129	quantity allowances	012129	quantity allowances	General Requirements	01 00 00
012143	time allowances	012143	time allowances	General Requirements	01 00 00
012200	unit prices	012200	unit prices	General Requirements	01 00 00
012213	unit price measurement	012213	unit price measurement	General Requirements	01 00 00
012216	unit price payment	012216	unit price payment	General Requirements	01 00 00
012300	alternates	012300	alternates	General Requirements	01 00 00
012400	value analysis	012400	value analysis	General Requirements	01 00 00
012413	value engineering	012413	value engineering	General Requirements	01 00 00
012500	substitution procedures	012500	substitution procedures	General Requirements	01 00 00
012513	product substitution procedures	012513	product substitution procedures	General Requirements	01 00 00
012516	execution substitution procedures	012516	execution substitution procedures	General Requirements	01 00 00
012600	contract modification procedures	012600	contract modification procedures	General Requirements	01 00 00
012613	requests for interpretation	012613	requests for interpretation	General Requirements	01 00 00
012619	clarification notices	012619	clarification notices	General Requirements	01 00 00
012633	minor changes in the work	012633	minor changes in the work	General Requirements	01 00 00
012636	supplemental instructions	012636	supplemental instructions	General Requirements	01 00 00
012639	field orders	012639	field orders	General Requirements	01 00 00
012643	amendments	012643	amendments	General Requirements	01 00 00
012646	construction change directives	012646	construction change directives	General Requirements	01 00 00
012649	work change directives	012649	work change directives	General Requirements	01 00 00
012653	proposal requests	012653	proposal requests	General Requirements	01 00 00
012654	proposal worksheet summaries	012654	proposal worksheet summaries	General Requirements	01 00 00
012657	change order requests	012657	change order requests	General Requirements	01 00 00
012663	change orders	012663	change orders	General Requirements	01 00 00
012900	payment procedures	012900	payment procedures	General Requirements	01 00 00
012973	schedule of values	012973	schedule of values	General Requirements	01 00 00
012976	progress payment procedures	012976	progress payment procedures	General Requirements	01 00 00
012983	payment procedures for testing laboratory services	012983	payment procedures for testing laboratory services	General Requirements	01 00 00
013000	administrative requirements	013000	administrative requirements	General Requirements	01 00 00
013100	project management and coordination	013100	project management and coordination	General Requirements	01 00 00
013113	project coordination	013113	project coordination	General Requirements	01 00 00
013114	facility services coordination	013114	facility services coordination	General Requirements	01 00 00
013116	multiple contract coordination	013116	multiple contract coordination	General Requirements	01 00 00
013119	project meetings	013119	project meetings	General Requirements	01 00 00
013119.13	preconstruction meetings	013119.13	preconstruction meetings	General Requirements	01 00 00
013119.16	site mobilization meetings	013119.16	site mobilization meetings	General Requirements	01 00 00
013119.23	progress meetings	013119.23	progress meetings	General Requirements	01 00 00
013119.33	preinstallation meetings	013119.33	preinstallation meetings	General Requirements	01 00 00
013123	project web site	013123	project web site	General Requirements	01 00 00
013126	electronic communication protocols	013126	electronic communication protocols	General Requirements	01 00 00
013200	construction progress documentation	013200	construction progress documentation	General Requirements	01 00 00
013213	scheduling of work	013213	scheduling of work	General Requirements	01 00 00
013216	construction progress schedule	013216	construction progress schedule	General Requirements	01 00 00
013216.13	network analysis schedules	013216.13	network analysis schedules	General Requirements	01 00 00
013219	submittals schedule	013219	submittals schedule	General Requirements	01 00 00
013223	survey and layout data	013223	survey and layout data	General Requirements	01 00 00
013226	construction progress reporting	013226	construction progress reporting	General Requirements	01 00 00
013229	periodic work observation	013229	periodic work observation	General Requirements	01 00 00
013233	photographic documentation	013233	photographic documentation	General Requirements	01 00 00
013236	video monitoring and documentation	013236	video monitoring and documentation	General Requirements	01 00 00
013243	purchase order tracking	013243	purchase order tracking	General Requirements	01 00 00
013300	submittal procedures	013300	submittal procedures	General Requirements	01 00 00
013313	certificates	013313	certificates	General Requirements	01 00 00
013316	design data	013316	design data	General Requirements	01 00 00
013319	field test reporting	013319	field test reporting	General Requirements	01 00 00
013323	shop drawings, product data, and samples	013323	shop drawings, product data, and samples	General Requirements	01 00 00
013326	source quality control reporting	013326	source quality control reporting	General Requirements	01 00 00
